"company_name","account_number","country","accounting_year","reporting_period_to","ticker_symbol","isin","industry_activity_group","reported_scope_1_metric_tonnes_co2e","reported_scope_1_source","estimated_scope_1_metric_tonnes_co2e","estimated_scope_1_model_type","estimated_scope_1_model_quality","scope_1_comments","reported_scope_2_metric_tonnes_co2e","reported_scope_2_source","estimated_scope_2_metric_tonnes_co2e","estimated_scope_2_model_type","estimated_scope_2_model_quality","scope_2_comments"
"Duratex S/A","5066","Brazil","2012","2012-12-31T00:00:00.000","DTEX3 BZ","BRDTEXACNOR3","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","264375.99","CDP Response",,,,,"56918.06","CDP Response",,,,
"Duratex S/A","5066","Brazil","2013","2013-12-31T00:00:00.000","DTEX3 BZ","BRDTEXACNOR3","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","235426.41","CDP Response",,,,,"81021.04","CDP Response",,,,
"Eastman Chemical Company","5169","USA","2011",,"EMN US","US2774321002","Chemicals",,,"2300000","Model 2","4",,,,"970000","Model 2","4",
"Eastman Chemical Company","5169","USA","2012","2012-12-31T00:00:00.000","EMN US","US2774321002","Chemicals","6440000","CDP Response",,,,,"301000","CDP Response",,,,
"Eastman Chemical Company","5169","USA","2013","2013-12-31T00:00:00.000","EMN US","US2774321002","Chemicals","6190000","CDP Response",,,,,"760000","CDP Response",,,,
"easyJet","5170","United Kingdom","2011",,"EZJ LN","GB00B7KR2P84","Air Transportation - Airlines",,,"5300000","Model 3","5",,,,"23000","Model 3","3",
"easyJet","5170","United Kingdom","2012",,"EZJ LN","GB00B7KR2P84","Air Transportation - Airlines",,,"5700000","Model 3","5",,,,"22000","Model 3","3",
"easyJet","5170","United Kingdom","2013","2013-09-30T00:00:00.000","EZJ LN","GB00B7KR2P84","Air Transportation - Airlines","5552720","CDP Response",,,,,,,"24000","Model 3","3",
"Ecolab Inc.","5154","USA","2011","2011-12-31T00:00:00.000","ECL US","US2788651006","Chemicals","189202","CDP Response",,,,,"88525","CDP Response",,,,
"Ecolab Inc.","5154","USA","2012","2012-12-31T00:00:00.000","ECL US","US2788651006","Chemicals","336258","CDP Response",,,,,"199296","CDP Response",,,,
"Ecolab Inc.","5154","USA","2013","2013-12-31T00:00:00.000","ECL US","US2788651006","Chemicals","396424","CDP Response",,,,,"233406","CDP Response",,,,
"ECOPRO Co., Ltd","36805","Korea","2011",,"086520 KS","KR7086520004","Chemicals",,,"1700","Model 2","2",,,,"6000","Model 2","1",
"ECOPRO Co., Ltd","36805","Korea","2012",,"086520 KS","KR7086520004","Chemicals",,,"1800","Model 2","2",,,,"9200","Model 2","1",
"ECOPRO Co., Ltd","36805","Korea","2013",,"086520 KS","KR7086520004","Chemicals",,,"1600","Model 2","2",,,,"5700","Model 2","2",
"E.I. du Pont de Nemours and Company","5115","USA","2011","2011-12-31T00:00:00.000","DD US","US2635341090","Chemicals","14093100","CDP Response",,,,,"5282400","CDP Response",,,,
"E.I. du Pont de Nemours and Company","5115","USA","2012","2012-12-31T00:00:00.000","DD US","US2635341090","Chemicals","10817680","CDP Response",,,,,"4416220","CDP Response",,,,
"E.I. du Pont de Nemours and Company","5115","USA","2013","2013-12-31T00:00:00.000","DD US","US2635341090","Chemicals","13561008","CDP Response",,,,,"4944363","CDP Response",,,,
"ELE-CON Technology Co Ltd","55029","Taiwan","2011",,"6437 TT","TW0006437007","Mining - Iron, Aluminum, Other Metals",,,"65","Model 2","3",,,,"120","Model 2","0",
"ELE-CON Technology Co Ltd","55029","Taiwan","2012",,"6437 TT","TW0006437007","Mining - Iron, Aluminum, Other Metals",,,"60","Model 2","3",,,,"56","Model 2","3",
"ELE-CON Technology Co Ltd","55029","Taiwan","2013",,"6437 TT","TW0006437007","Mining - Iron, Aluminum, Other Metals",,,"100","Model 2","4",,,,"360","Model 2","4",
"Electrosteel Castings Ltd","55063","India","2011",,"ELSC IN","INE086A01029","Building Products",,,"5000","Model 2","2",,,,"10000","Model 2","3",
"Electrosteel Castings Ltd","55063","India","2012",,"ELSC IN","INE086A01029","Building Products",,,"6600","Model 2","2",,,,"11000","Model 2","3",
"Electrosteel Castings Ltd","55063","India","2013",,"ELSC IN","INE086A01029","Building Products",,,"5600","Model 2","3",,,,"12000","Model 2","4",
"Elektrostal OAO","55047","Russia","2011",,"ELST RU","RU000A0JRGL3","Mining - Iron, Aluminum, Other Metals",,,"14000","Model 2","2",,,,"7600","Model 2","2",
"Elektrostal OAO","55047","Russia","2012",,"ELST RU","RU000A0JRGL3","Mining - Iron, Aluminum, Other Metals",,,"9100","Model 2","2",,,,"9500","Model 2","2",
"Elektrostal OAO","55047","Russia","2013",,"ELST RU","RU000A0JRGL3","Mining - Iron, Aluminum, Other Metals",,,"11000","Model 2","2",,,,"12000","Model 2","3",
"Elementis","5378","United Kingdom","2011","2011-12-31T00:00:00.000","ELM LN","GB0002418548","Chemicals","200000","CDP Response",,,,,,,"40000","Model 2","2",
"Elementis","5378","United Kingdom","2012","2012-12-31T00:00:00.000","ELM LN","GB0002418548","Chemicals","183000","CDP Response",,,,,,,"34000","Model 2","2",
"Elementis","5378","United Kingdom","2013","2013-12-31T00:00:00.000","ELM LN","GB0002418548","Chemicals","221076","CDP Response",,,,,"89500","CDP Response",,,,
"Empresas CMPC","21889","Chile","2011",,"CMPC CI","CL0000001314","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"800000","Model 2","5",,,,"130000","Model 2","4",
"Empresas CMPC","21889","Chile","2012","2012-12-31T00:00:00.000","CMPC CI","CL0000001314","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","688129","CDP Response",,,,,"623594","CDP Response",,,,
"Empresas CMPC","21889","Chile","2013","2013-12-31T00:00:00.000","CMPC CI","CL0000001314","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","1394421","CDP Response",,,,,"690524","CDP Response",,,,
"Ems-Chemie Holding AG","5557","Switzerland","2011","2011-12-31T00:00:00.000","EMSN SW","CH0016440353","Chemicals","3997","CDP Response",,,,,"10166","CDP Response",,,,
"Ems-Chemie Holding AG","5557","Switzerland","2012","2012-12-31T00:00:00.000","EMSN SW","CH0016440353","Chemicals","4669","CDP Response",,,,,"9254","CDP Response",,,,
"Ems-Chemie Holding AG","5557","Switzerland","2013","2013-12-31T00:00:00.000","EMSN SW","CH0016440353","Chemicals","4902","CDP Response",,,,,"9205","CDP Response",,,,
"ERE?L? DEM?R VE ÇEL?K FABR?KALARI T.A.?.","21127","Turkey","2013",,"EREGL TI","TRAEREGL91G3","Mining - Iron, Aluminum, Other Metals",,,"1400000","Model 2","4",,,,"310000","Model 2","3",
"ERE?L? DEM?R VE ÇEL?K FABR?KALARI T.A.?.","21127","Turkey","2011",,"EREGL TI","TRAEREGL91G3","Mining - Iron, Aluminum, Other Metals",,,"1300000","Model 2","4",,,,"210000","Model 2","2",
"ERE?L? DEM?R VE ÇEL?K FABR?KALARI T.A.?.","21127","Turkey","2012",,"EREGL TI","TRAEREGL91G3","Mining - Iron, Aluminum, Other Metals",,,"1500000","Model 2","4",,,,"280000","Model 2","2",
"Eurasian Natural Resources Corporation","5920","United Kingdom","2011","2011-12-31T00:00:00.000","EURNF US","GB00B29BCK10","Mining - Iron, Aluminum, Other Metals","26071429","CDP Response",,,,,"783582","CDP Response",,,,
"Eurasian Natural Resources Corporation","5920","United Kingdom","2012","2012-12-31T00:00:00.000","EURNF US","GB00B29BCK10","Mining - Iron, Aluminum, Other Metals","26366645","CDP Response",,,,,"1003469","CDP Response",,,,
"Eurasian Natural Resources Corporation","5920","United Kingdom","2013",,"EURNF US","GB00B29BCK10","Mining - Iron, Aluminum, Other Metals",,,"1700000","Model 2","3",,,,"790000","Model 2","3",
"Eva Airways Corp","21883","Taiwan","2011",,"2618 TT","TW0002618006","Air Transportation - Airlines",,,"3700000","Model 3","5",,,,"15000","Model 3","3",
"Eva Airways Corp","21883","Taiwan","2012",,"2618 TT","TW0002618006","Air Transportation - Airlines","4940000","CSR Report",,,,,"9970","CSR Report",,,,
"Eva Airways Corp","21883","Taiwan","2013",,"2618 TT","TW0002618006","Air Transportation - Airlines","5050000","CSR Report",,,,,"11500","CSR Report",,,,
"Evonik Industries AG","37400","Germany","2011","2011-12-31T00:00:00.000","EVKIF US","DE000EVNK013","Chemicals","7341494","CDP Response",,,,,"3235554","CDP Response",,,,
"Evonik Industries AG","37400","Germany","2012","2012-12-31T00:00:00.000","EVKIF US","DE000EVNK013","Chemicals","5963833","Company Submitted Data",,,,,"3120916","CDP Response",,,,
"Evonik Industries AG","37400","Germany","2013","2013-12-31T00:00:00.000","EVKIF US","DE000EVNK013","Chemicals","5875222","CDP Response",,,,,"2925238","CDP Response",,,,
"Evraz PLC","37508","Russia","2011",,"EVR LN","GB00B71N6K86","Mining - Iron, Aluminum, Other Metals",,,,,,"Modeled data omitted, sample size issues affect quality of model predictions.",,,,,,"Modeled data omitted; sample size issues affect quality of model predictions."
"Evraz PLC","37508","Russia","2012",,"EVR LN","GB00B71N6K86","Mining - Iron, Aluminum, Other Metals","39755338","Company Submitted Data",,,,,"7874018","Company Submitted Data",,,,
"Evraz PLC","37508","Russia","2013","2013-12-31T00:00:00.000","EVR LN","GB00B71N6K86","Mining - Iron, Aluminum, Other Metals","40993992","Company Submitted Data",,,,,"8046219","Company Submitted Data",,,,
"Femsa - Fomento Economico Mexicano","22113","Mexico","2011",,"FEMSAUBD MM","MXP320321310","Food & Beverage Processing",,,"870000","Model 2","5",,,,"550000","Model 2","3",
"Femsa - Fomento Economico Mexicano","22113","Mexico","2012","2012-12-31T00:00:00.000","FEMSAUBD MM","MXP320321310","Food & Beverage Processing","329297","CDP Response",,,,,"847551","CDP Response",,,,
"Femsa - Fomento Economico Mexicano","22113","Mexico","2013","2013-12-31T00:00:00.000","FEMSAUBD MM","MXP320321310","Food & Beverage Processing","675832","CDP Response",,,,,"957954","CDP Response",,,,
"FIBRIA Celulose S/A","21467","Brazil","2011","2011-12-31T00:00:00.000","FIBR3 BZ","BRFIBRACNOR9","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","1079336","CDP Response",,,,,"5504","CDP Response",,,,
"FIBRIA Celulose S/A","21467","Brazil","2012","2012-12-31T00:00:00.000","FIBR3 BZ","BRFIBRACNOR9","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","1144096","CDP Response",,,,,"7111","CDP Response",,,,
"FIBRIA Celulose S/A","21467","Brazil","2013","2013-12-31T00:00:00.000","FIBR3 BZ","BRFIBRACNOR9","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber","1114326","CDP Response",,,,,"21252","CDP Response",,,,
"Finmeccanica","6331","Italy","2011","2011-12-31T00:00:00.000","FNC IM","IT0003856405","Aerospace & Defense","204467","CDP Response",,,,,"371067","CDP Response",,,,
"Finmeccanica","6331","Italy","2012","2012-12-31T00:00:00.000","FNC IM","IT0003856405","Aerospace & Defense","232302","CDP Response",,,,,"339838","CDP Response",,,,
"Finmeccanica","6331","Italy","2013","2013-12-31T00:00:00.000","FNC IM","IT0003856405","Aerospace & Defense","232911","CDP Response",,,,,"344404","CDP Response",,,,
"Finnair","6332","Finland","2011","2011-12-31T00:00:00.000","FIA1S FH","FI0009003230","Air Transportation - Airlines","2525284","CDP Response",,,,,"24920","CDP Response",,,,
"Finnair","6332","Finland","2012","2012-12-31T00:00:00.000","FIA1S FH","FI0009003230","Air Transportation - Airlines","2474283","CDP Response",,,,,"34209.57","CDP Response",,,,
"Finnair","6332","Finland","2013","2013-12-31T00:00:00.000","FIA1S FH","FI0009003230","Air Transportation - Airlines","2337134","CDP Response",,,,,"24055","CDP Response",,,,
"First Quantum Minerals Limited","6392","Canada","2011","2011-12-31T00:00:00.000","FM CN","CA3359341052","Mining - Iron, Aluminum, Other Metals","527765","CDP Response",,,,,"2720","CDP Response","320000","Model 2","4","The revenue intensity associated with this data point is outside of the 99th percentile for the industry. Data point appears inconsistent with subsequent CDP responses and model estimate."
"First Quantum Minerals Limited","6392","Canada","2012","2012-12-31T00:00:00.000","FM CN","CA3359341052","Mining - Iron, Aluminum, Other Metals","763326","CDP Response",,,,,"37212","CDP Response","410000","Model 2","3","The revenue intensity associated with this data point is outside of the 99th percentile for the industry. Data point appears inconsistent with subsequent CDP responses and model estimate."
"First Quantum Minerals Limited","6392","Canada","2013","2013-12-31T00:00:00.000","FM CN","CA3359341052","Mining - Iron, Aluminum, Other Metals","995862","CDP Response",,,,,"236608","CDP Response",,,,
"Formosa Chemicals & Fibre Corporation","6612","Taiwan","2011",,"1326 TT","TW0001326007","Chemicals",,,"3200000","Model 2","2",,,,"840000","Model 2","1",
"Formosa Chemicals & Fibre Corporation","6612","Taiwan","2012",,"1326 TT","TW0001326007","Chemicals",,,"2900000","Model 2","2",,,,"740000","Model 2","1",
"Formosa Chemicals & Fibre Corporation","6612","Taiwan","2013",,"1326 TT","TW0001326007","Chemicals",,,"2800000","Model 2","2",,,,"980000","Model 2","2",
"Formosa Plastics Corp","35462","Taiwan","2011",,"1301 TT","TW0001301000","Chemicals",,,"1300000","Model 2","2",,,,"470000","Model 2","1",
"Formosa Plastics Corp","35462","Taiwan","2012",,"1301 TT","TW0001301000","Chemicals",,,"1100000","Model 2","2",,,,"410000","Model 2","1",
"Formosa Plastics Corp","35462","Taiwan","2013",,"1301 TT","TW0001301000","Chemicals",,,"1100000","Model 2","2",,,,"520000","Model 2","2",
"Fortescue Metals Group","6634","Australia","2011","2012-06-30T00:00:00.000","FMG AU","AU000000FMG4","Mining - Iron, Aluminum, Other Metals","1062109","CDP Response",,,,,"57264","CDP Response",,,,
"Fortescue Metals Group","6634","Australia","2012","2013-06-30T00:00:00.000","FMG AU","AU000000FMG4","Mining - Iron, Aluminum, Other Metals","1331339","CDP Response",,,,,"99522","CDP Response",,,,
"Fortescue Metals Group","6634","Australia","2013","2014-06-30T00:00:00.000","FMG AU","AU000000FMG4","Mining - Iron, Aluminum, Other Metals","1565553","CDP Response",,,,,"289939","CDP Response",,,,
"Freeport-McMoRan Inc.","23228","USA","2011","2011-12-31T00:00:00.000","FCX US","US35671D8570","Mining - Iron, Aluminum, Other Metals","5358795","CDP Response",,,,,"4582267","CDP Response",,,,
"Freeport-McMoRan Inc.","23228","USA","2012","2012-12-31T00:00:00.000","FCX US","US35671D8570","Mining - Iron, Aluminum, Other Metals","5679367","CDP Response",,,,,"3985464","CDP Response",,,,
"Freeport-McMoRan Inc.","23228","USA","2013","2013-12-31T00:00:00.000","FCX US","US35671D8570","Mining - Iron, Aluminum, Other Metals","5859810","CDP Response",,,,,"4321572","CDP Response",,,,
"Fresh Del Monte Produce Inc","55137","USA","2011",,"FDP US","KYG367381053","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"190000","Model 2","3",,,,"150000","Model 2","4",
"Fresh Del Monte Produce Inc","55137","USA","2012",,"FDP US","KYG367381053","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"130000","Model 2","3",,,,"110000","Model 2","3",
"Fresh Del Monte Produce Inc","55137","USA","2013",,"FDP US","KYG367381053","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"160000","Model 2","2",,,,"130000","Model 2","2",
"Fresnillo plc","6806","Mexico","2011","2011-12-31T00:00:00.000","FRES LN","GB00B2QPKJ12","Mining - Other (Precious Metals and Gems)","285788","CDP Response",,,,,"414552","CDP Response",,,,
"Fresnillo plc","6806","Mexico","2012","2012-12-31T00:00:00.000","FRES LN","GB00B2QPKJ12","Mining - Other (Precious Metals and Gems)","236183.87","CDP Response",,,,,"346134.05","CDP Response",,,,
"Fresnillo plc","6806","Mexico","2013","2013-12-31T00:00:00.000","FRES LN","GB00B2QPKJ12","Mining - Other (Precious Metals and Gems)","231404.41","CDP Response",,,,,"353210.95","CDP Response",,,,
"Fujian Minfa Aluminum Co Ltd","55026","China","2011",,"002578 CH","CNE1000012H0","Mining - Iron, Aluminum, Other Metals",,,"1900","Model 2","3",,,,"2700","Model 2","0",
"Fujian Minfa Aluminum Co Ltd","55026","China","2012",,"002578 CH","CNE1000012H0","Mining - Iron, Aluminum, Other Metals",,,"2800","Model 2","3",,,,"2200","Model 2","3",
"Fujian Minfa Aluminum Co Ltd","55026","China","2013",,"002578 CH","CNE1000012H0","Mining - Iron, Aluminum, Other Metals",,,"3800","Model 2","4",,,,"7900","Model 2","4",
"FUJIMORI KOGYO CO.,LTD","51161","Japan","2011",,"7917 JP","JP3821000001","Chemicals",,,"76000","Model 2","2",,,,"72000","Model 2","1",
"FUJIMORI KOGYO CO.,LTD","51161","Japan","2012",,"7917 JP","JP3821000001","Chemicals",,,"79000","Model 2","2",,,,"86000","Model 2","1",
"FUJIMORI KOGYO CO.,LTD","51161","Japan","2013","2014-03-31T00:00:00.000","7917 JP","JP3821000001","Chemicals",,,"65000","Model 2","2",,,,"74000","Model 2","2",
"Furukawa Co Ltd","55042","Japan","2011",,"5715 JP","JP3826800009","Electrical Equipment and Machinery",,,"16000","Model 2","2",,,,"29000","Model 2","2",
"Furukawa Co Ltd","55042","Japan","2012",,"5715 JP","JP3826800009","Electrical Equipment and Machinery",,,"14000","Model 2","3",,,,"37000","Model 2","3",
"Furukawa Co Ltd","55042","Japan","2013",,"5715 JP","JP3826800009","Electrical Equipment and Machinery",,,"14000","Model 2","2",,,,"33000","Model 2","2",
"Fushan International Energy","32054","Hong Kong","2011",,"639 HK","HK0639031506","Mining - Iron, Aluminum, Other Metals",,,"58000","Model 2","4",,,,"28000","Model 2","2",
"Fushan International Energy","32054","Hong Kong","2012",,"639 HK","HK0639031506","Mining - Iron, Aluminum, Other Metals",,,"29000","Model 2","4",,,,"29000","Model 2","2",
"Fushan International Energy","32054","Hong Kong","2013",,"639 HK","HK0639031506","Mining - Iron, Aluminum, Other Metals",,,"21000","Model 2","4",,,,"27000","Model 2","3",
"General Dynamics Corporation","7147","USA","2011",,"GD US","US3695501086","Aerospace & Defense",,,"340000","Model 2","4",,,,"640000","Model 2","4",
"General Dynamics Corporation","7147","USA","2012",,"GD US","US3695501086","Aerospace & Defense",,,"260000","Model 2","3",,,,"490000","Model 2","2",
"General Dynamics Corporation","7147","USA","2013",,"GD US","US3695501086","Aerospace & Defense",,,"300000","Model 2","4",,,,"470000","Model 2","3",
"General Electric Company","7166","USA","2011","2011-12-31T00:00:00.000","GE US","US3696041033","Electrical Equipment and Machinery","2180000","CDP Response",,,,,"2910000","CDP Response",,,,
"General Electric Company","7166","USA","2012","2012-12-31T00:00:00.000","GE US","US3696041033","Electrical Equipment and Machinery","1970000","CDP Response",,,,,"2905000","CDP Response",,,,
"General Electric Company","7166","USA","2013","2013-12-31T00:00:00.000","GE US","US3696041033","Electrical Equipment and Machinery","1946000","CDP Response",,,,,"3031000","CDP Response",,,,
"General Mills Inc.","7156","USA","2011","2012-05-31T00:00:00.000","GIS US","US3703341046","Food & Beverage Processing","259400","CDP Response",,,,,"737000","CDP Response",,,,
"General Mills Inc.","7156","USA","2012","2013-05-31T00:00:00.000","GIS US","US3703341046","Food & Beverage Processing","291606","CDP Response",,,,,"771157","CDP Response",,,,
"General Mills Inc.","7156","USA","2013","2014-05-31T00:00:00.000","GIS US","US3703341046","Food & Beverage Processing","299921","CDP Response",,,,,"720189","CDP Response",,,,
"George Weston Limited","7292","Canada","2011","2011-12-31T00:00:00.000","WN CN","CA9611485090","Food & Staples Retailing","86441.28","CDP Response",,,,,"97814.5","CDP Response",,,,
"George Weston Limited","7292","Canada","2012","2012-12-31T00:00:00.000","WN CN","CA9611485090","Food & Staples Retailing","80380.22","CDP Response",,,,,"94756.11","CDP Response",,,,
"George Weston Limited","7292","Canada","2013","2013-12-31T00:00:00.000","WN CN","CA9611485090","Food & Staples Retailing","84504.21","CDP Response",,,,,"91343.82","CDP Response",,,,
"Gerdau S/A","7272","Brazil","2011",,"GGBR4 BZ","BRGGBRACNPR8","Mining - Iron, Aluminum, Other Metals",,,"9500000","Model 2","4",,,,"310000","Model 2","2",
"Gerdau S/A","7272","Brazil","2012",,"GGBR4 BZ","BRGGBRACNPR8","Mining - Iron, Aluminum, Other Metals",,,"11000000","Model 2","4",,,,"460000","Model 2","2",
"Gerdau S/A","7272","Brazil","2013",,"GGBR4 BZ","BRGGBRACNPR8","Mining - Iron, Aluminum, Other Metals",,,"13000000","Model 2","4",,,,"700000","Model 2","3",
"Givaudan SA","7310","Switzerland","2011","2011-12-31T00:00:00.000","GIVN VX","CH0010645932","Chemicals","104482","CDP Response",,,,,"112929","CDP Response",,,,
"Givaudan SA","7310","Switzerland","2012","2012-12-31T00:00:00.000","GIVN VX","CH0010645932","Chemicals","102189","CDP Response",,,,,"110461","CDP Response",,,,
"Givaudan SA","7310","Switzerland","2013","2013-12-31T00:00:00.000","GIVN VX","CH0010645932","Chemicals","103703","CDP Response",,,,,"113247","CDP Response",,,,
"Glencore plc","35349","Switzerland","2011","2011-12-31T00:00:00.000","GLEN LN","JE00B4T3BW64","Mining - Iron, Aluminum, Other Metals","8900854","CDP Response",,,,,"3132545","CDP Response",,,,
"Glencore plc","35349","Switzerland","2012","2012-12-31T00:00:00.000","GLEN LN","JE00B4T3BW64","Mining - Iron, Aluminum, Other Metals","10472788","CDP Response",,,,,"4190788","CDP Response",,,,
"Glencore plc","35349","Switzerland","2013","2013-12-31T00:00:00.000","GLEN LN","JE00B4T3BW64","Mining - Iron, Aluminum, Other Metals","24405977","Company Submitted Data",,,,,"13825963","Company Submitted Data",,,,
"GMP Co Ltd","55121","South Korea","2011",,"018290 KS","KR7018290007","Chemicals",,,"980","Model 2","2",,,,"4100","Model 2","1",
"GMP Co Ltd","55121","South Korea","2012",,"018290 KS","KR7018290007","Chemicals",,,"1000","Model 2","2",,,,"6600","Model 2","1",
"GMP Co Ltd","55121","South Korea","2013",,"018290 KS","KR7018290007","Chemicals",,,"1400","Model 2","2",,,,"5100","Model 2","2",
"Goldcorp Inc.","7582","Canada","2011","2011-12-31T00:00:00.000","G CN","CA3809564097","Mining - Other (Precious Metals and Gems)","667800","CDP Response",,,,,"743900","CDP Response",,,,
"Goldcorp Inc.","7582","Canada","2012","2012-12-31T00:00:00.000","G CN","CA3809564097","Mining - Other (Precious Metals and Gems)","734981","CDP Response",,,,,"685344","CDP Response",,,,
"Goldcorp Inc.","7582","Canada","2013","2013-12-31T00:00:00.000","G CN","CA3809564097","Mining - Other (Precious Metals and Gems)","694761","CDP Response",,,,,"726216","CDP Response",,,,
"Golden Agri-Resources","7579","Singapore","2011",,"GGR SP","MU0117U00026","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"220000","Model 2","3",,,,"210000","Model 2","4",
"Golden Agri-Resources","7579","Singapore","2012",,"GGR SP","MU0117U00026","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"160000","Model 2","3",,,,"180000","Model 2","3",
"Golden Agri-Resources","7579","Singapore","2013",,"GGR SP","MU0117U00026","Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",,,"200000","Model 2","2",,,,"210000","Model 2","2",
"Gol Linhas Aereas Inteligentes S.A.","7581","Brazil","2011","2011-12-31T00:00:00.000","GOLL4 BZ","BRGOLLACNPR4","Air Transportation - Airlines","3745535","CDP Response",,,,,"423","CDP Response","4400","Model 2","3","The revenue intensity associated with this data point is outside of the 99th percentile for the industry."
"Gol Linhas Aereas Inteligentes S.A.","7581","Brazil","2012","2012-12-31T00:00:00.000","GOLL4 BZ","BRGOLLACNPR4","Air Transportation - Airlines","3529380","CDP Response",,,,,"1342","CDP Response","4100","Model 2","3","The revenue intensity associated with this data point is outside of the 99th percentile for the industry."
"Gol Linhas Aereas Inteligentes S.A.","7581","Brazil","2013","2013-12-31T00:00:00.000","GOLL4 BZ","BRGOLLACNPR4","Air Transportation - Airlines","3624766","CDP Response",,,,,"1971","CDP Response","5200","Model 2","3","The revenue intensity associated with this data point is outside of the 99th percentile for the industry."
"Goodyear Tire & Rubber Company","7619","USA","2011","2011-12-31T00:00:00.000","GT US","US3825501014","Tires","1420000","CDP Response",,,,,"1980000","CDP Response",,,,
"Goodyear Tire & Rubber Company","7619","USA","2012","2012-12-31T00:00:00.000","GT US","US3825501014","Tires","1229586","CDP Response",,,,,"1680202","CDP Response",,,,
"Goodyear Tire & Rubber Company","7619","USA","2013","2013-12-31T00:00:00.000","GT US","US3825501014","Tires","1226653","CDP Response",,,,,"1895713","CDP Response",,,,
"Grupo Mexico S.A.B. de CV","7834","Mexico","2011",,"GMEXICOB MM","MXP370841019","Mining - Iron, Aluminum, Other Metals","1970000","CSR Report",,,,,"1880000","CSR Report",,,,
"Grupo Mexico S.A.B. de CV","7834","Mexico","2012",,"GMEXICOB MM","MXP370841019","Mining - Iron, Aluminum, Other Metals","2260000","CSR Report",,,,,"2350000","CSR Report",,,,
"Grupo Mexico S.A.B. de CV","7834","Mexico","2013",,"GMEXICOB MM","MXP370841019","Mining - Iron, Aluminum, Other Metals",,,"3300000","Model 2","3",,,,"1700000","Model 2","3",
"Grupo Modelo S.A.","7835","Mexico","2011",,"GMODELOC MM","MXP4833F1044","Food & Beverage Processing",,,"280000","Model 2","5",,,,"210000","Model 2","3",
"Grupo Modelo S.A.","7835","Mexico","2012",,"GMODELOC MM","MXP4833F1044","Food & Beverage Processing",,,"270000","Model 2","5",,,,"220000","Model 2","3",
"Grupo Modelo S.A.","7835","Mexico","2013",,"GMODELOC MM","MXP4833F1044","Food & Beverage Processing",,,"240000","Model 2","5",,,,"170000","Model 2","4",
"Gruppa Ilim","54754","Russia","2011",,"ILIM RU","RU000A0JPDH2","Chemicals",,,,,,"No revenue, modeled data dropped.",,,,,,"No revenue, modeled data dropped."
"Gruppa Ilim","54754","Russia","2012",,"ILIM RU","RU000A0JPDH2","Chemicals",,,,,,"No revenue, modeled data dropped.",,,,,,"No revenue, modeled data dropped."
"Gruppa Ilim","54754","Russia","2013",,"ILIM RU","RU000A0JPDH2","Chemicals",,,"170000","Model 2","2",,,,"100000","Model 2","2",
"Guangdong Delian Group Co Ltd","55055","China","2011",,"002666 CH","CNE100001CP7","Chemicals",,,"3200","Model 2","2",,,,"12000","Model 2","2",
"Guangdong Delian Group Co Ltd","55055","China","2012",,"002666 CH","CNE100001CP7","Chemicals",,,"5400","Model 2","2",,,,"11000","Model 2","2",
"Guangdong Delian Group Co Ltd","55055","China","2013",,"002666 CH","CNE100001CP7","Chemicals",,,"6500","Model 2","2",,,,"17000","Model 2","3",
"Gujarat Alkalines and Chemicals Limited","46504","India","2011",,"GALK IN","INE186A01019","Chemicals",,,,,,"No revenue, modeled data dropped.",,,,,,"No revenue, modeled data dropped."
"Gujarat Alkalines and Chemicals Limited","46504","India","2012",,"GALK IN","INE186A01019","Chemicals",,,,,,"No revenue, modeled data dropped.",,,,,,"No revenue, modeled data dropped."
"Gujarat Alkalines and Chemicals Limited","46504","India","2013",,"GALK IN","INE186A01019","Chemicals",,,,,,"No revenue, modeled data dropped.",,,,,,"No revenue, modeled data dropped."
"Gujarat Fluorochemicals","7873","India","2011",,"GFLC IN","INE538A01037","Chemicals",,,"15000","Model 2","2",,,,"39000","Model 2","2",
"Gujarat Fluorochemicals","7873","India","2012",,"GFLC IN","INE538A01037","Chemicals",,,"17000","Model 2","2",,,,"31000","Model 2","2",
"Gujarat Fluorochemicals","7873","India","2013",,"GFLC IN","INE538A01037","Chemicals",,,"16000","Model 2","2",,,,"35000","Model 2","3",
"Gujarat N R E Coke","7889","India","2011",,"GNC IN","INE110D01013","Mining - Iron, Aluminum, Other Metals",,,"8200","Model 2","4",,,,"6700","Model 2","2",
