"company_name","account_number","country","accounting_year","reporting_period_to","ticker_symbol","isin","industry_activity_group","reported_scope_1_metric_tonnes_co2e","reported_scope_1_source","estimated_scope_1_metric_tonnes_co2e","estimated_scope_1_model_type","estimated_scope_1_model_quality","scope_1_comments","reported_scope_2_metric_tonnes_co2e","reported_scope_2_source","estimated_scope_2_metric_tonnes_co2e","estimated_scope_2_model_type","estimated_scope_2_model_quality","scope_2_comments"
"Air China Limited","428","China","2011",,"753 HK","CNE1000001S0","Air Transportation - Airlines",,,"14000000","Model 3","5",,,,"77000","Model 3","3",
"Air China Limited","428","China","2012",,"753 HK","CNE1000001S0","Air Transportation - Airlines",,,"14000000","Model 3","5",,,,"74000","Model 3","3",
"Air China Limited","428","China","2013",,"753 HK","CNE1000001S0","Air Transportation - Airlines",,,"14000000","Model 3","5",,,,"68000","Model 3","3",
"Air France - KLM","429","France","2011","2011-09-30T00:00:00.000","AF FP","FR0000031122","Air Transportation - Airlines","28283493","CDP Response",,,,,"95471","CDP Response",,,,
"Air France - KLM","429","France","2012","2012-09-30T00:00:00.000","AF FP","FR0000031122","Air Transportation - Airlines","28296174","CDP Response",,,,,"90229","CDP Response",,,,
"Air France - KLM","429","France","2013","2013-09-30T00:00:00.000","AF FP","FR0000031122","Air Transportation - Airlines","27664478","CDP Response",,,,,"90523","CDP Response",,,,
"Air Liquide","432","France","2011","2011-12-31T00:00:00.000","AI FP","FR0000120073","Chemicals","10549000","CDP Response",,,,,"9994000","CDP Response",,,,
"Air Liquide","432","France","2012","2012-12-31T00:00:00.000","AI FP","FR0000120073","Chemicals","11272000","CDP Response",,,,,"10853000","CDP Response",,,,
"Air Liquide","432","France","2013","2013-12-31T00:00:00.000","AI FP","FR0000120073","Chemicals","11846000","CDP Response",,,,,"9257000","CDP Response",,,,
"Air New Zealand","434","New Zealand","2011","2012-06-30T00:00:00.000","AIR NZ","NZAIRE0001S2","Air Transportation - Airlines","2910041","CDP Response",,,,,"9940","CDP Response",,,,
"Air New Zealand","434","New Zealand","2012","2013-06-30T00:00:00.000","AIR NZ","NZAIRE0001S2","Air Transportation - Airlines","2934465","CDP Response",,,,,"8831","CDP Response",,,,
"Air New Zealand","434","New Zealand","2013",,"AIR NZ","NZAIRE0001S2","Air Transportation - Airlines",,,"3400000","Model 3","5",,,,"11000","Model 3","3",
"Air Products & Chemicals, Inc.","435","USA","2011","2011-12-31T00:00:00.000","APD US","US0091581068","Chemicals","14440000","CDP Response",,,,,"9878817","CDP Response",,,,
"Air Products & Chemicals, Inc.","435","USA","2012","2012-12-31T00:00:00.000","APD US","US0091581068","Chemicals","14767209","CDP Response",,,,,"10563030","CDP Response",,,,
"Air Products & Chemicals, Inc.","435","USA","2013","2013-12-31T00:00:00.000","APD US","US0091581068","Chemicals","14972268","CDP Response",,,,,"10853989","CDP Response",,,,
"AkzoNobel","462","Netherlands","2011","2011-12-31T00:00:00.000","AKZA NA","NL0000009132","Chemicals","1600000","CDP Response",,,,,"3200000","CDP Response",,,,
"AkzoNobel","462","Netherlands","2012","2012-12-31T00:00:00.000","AKZA NA","NL0000009132","Chemicals","1512500","CDP Response",,,,,"3236400","CDP Response",,,,
"AkzoNobel","462","Netherlands","2013","2013-12-31T00:00:00.000","AKZA NA","NL0000009132","Chemicals","1133000","CDP Response",,,,,"2819000","CDP Response",,,,
