"company_name","account_number","country","reporting_year","ticker_symbol","isin","disclosure_score","performance_band","parent_account","permission","response_status","scope_1_metric_tonnes_co2e","scope_2_metric_tonnes_co2e","country_location"
"ConocoPhillips","3751","USA","2011","COP US","US20825C1045","41",,,"Public","AQ*","57981000","10024000","(37.09024, -95.712891)"
"JFE Holdings, Inc.","9760","Japan","2011","5411 JP","JP3386030005",,,,,"NR",,,"(36.204824, 138.252924)"
"Chunghwa Telecom","3320","Taiwan","2011","2412 TT","TW0002412004","74","C",,"Public","AQ*","30753.37","874384.42","(23.69781, 120.960515)"
"Celgene Corporation","2982","USA","2011","CELG US","US1510201049","62","E",,"Public","AQ*","5903","9644","(37.09024, -95.712891)"
"Lafarge S.A.","10418","France","2011","LG FP","FR0000120537","96","A-",,"Public","AQ*","96336401","8326698","(46.227638, 2.213749)"
"Standard Chartered","17624","United Kingdom","2011","STAN LN","GB0004082847","77","B",,"Public","AQ*","6318","251355","(55.378051, -3.435973)"
"Formosa Petrochemical","6602","Taiwan","2011","6505 TT","TW0006505001",,,"Formosa Plastics Corp",,"NR",,,"(23.69781, 120.960515)"
"Genzyme Corporation","7273","USA","2011","GENZ US","US3729171047","85","B","SANOFI","Not public","AQ*",,,"(37.09024, -95.712891)"
"Dell Inc.","4433","USA","2011","DELL US","US24702R1014","72","C",,"Public","AQ*","34115","404791","(37.09024, -95.712891)"
"Endesa","5584","Spain","2011","ELE SM","ES0130670112","88","A-","ENEL SpA","Public","AQ*","38631310","660575","(40.463667, -3.74922)"
"Rolls-Royce","15941","United Kingdom","2011","RR/ LN","GB00B63H8491","75","B",,"Public","AQ*","232009","360114","(55.378051, -3.435973)"
"Panasonic Corporation","14292","Japan","2011","6752 JP","JP3866800000","93","B",,"Public","AQ*","847855","3287942","(36.204824, 138.252924)"
"UBS","22416","Switzerland","2011","UBSN VX","CH0024899483","91","A",,"Public","AQ*","27153","248893","(46.818188, 8.227512)"
"Anglo American","772","United Kingdom","2011","AAL LN","GB00B1XZS820","81","C",,"Public","AQ*","9809076","10190815","(55.378051, -3.435973)"
"Wal-Mart Stores, Inc.","20402","USA","2011","WMT US","US9311421039","85","B",,"Public","AQ*","5922051","15482048","(37.09024, -95.712891)"
"Fortum Oyj","6582","Finland","2011","FUM1V FH","FI0009007132","97","B",,"Public","AQ*","25600000","104279","(61.92411, 25.748151)"
