state,year,total_sales_mwh,n_utilities,total_sales_twh
NC,2022,139206761.0,58,139.206761
NC,2023,133091108.0,58,133.091108
ND,2018,20669506.0,26,20.669506
ND,2019,21559255.0,36,21.559255
ND,2020,21819452.0,20,21.819452
ND,2021,22863107.0,20,22.863107
ND,2022,25392877.0,20,25.392877
ND,2023,28202179.0,20,28.202179
NE,2018,30939492.0,82,30.939492
NE,2019,30383190.0,153,30.38319
NE,2020,31171536.0,25,31.171536
NE,2021,32341170.0,25,32.34117
NE,2022,33844105.0,25,33.844105
NE,2023,33571199.0,27,33.571199
NH,2018,16763210.0,38,16.76321
NH,2019,16142146.0,40,16.142146
NH,2020,15822083.0,36,15.822083
NH,2021,16001795.0,34,16.001795
NH,2022,15861789.0,35,15.861789
NH,2023,16538357.0,37,16.538357
NJ,2018,111835201.0,107,111.835201
NJ,2019,108367713.0,120,108.367713
NJ,2020,103879180.0,107,103.87918
NJ,2021,103708190.0,106,103.70819
NJ,2022,103269620.0,106,103.26962
NJ,2023,97509125.0,100,97.509125
NM,2018,24048611.0,31,24.048611
NM,2019,24880134.0,37,24.880134
NM,2020,24777155.0,26,24.777155
NM,2021,25393743.0,25,25.393743
NM,2022,27156178.0,25,27.156178
NM,2023,28347490.0,25,28.34749
NV,2018,42598368.0,30,42.598368
NV,2019,42035150.0,34,42.03515
NV,2020,43303597.0,26,43.303597
NV,2021,44153721.0,22,44.153721
NV,2022,45636761.0,21,45.636761
NV,2023,44646878.0,23,44.646878
NY,2018,226567745.0,112,226.567745
NY,2019,218100794.0,158,218.100794
NY,2020,206728676.0,110,206.728676
NY,2021,207355611.0,108,207.355611
NY,2022,207776907.0,107,207.776907
NY,2023,201563180.0,104,201.56318
OH,2018,259001548.0,154,259.001548
OH,2019,251438719.0,219,251.438719
OH,2020,240972424.0,141,240.972424
OH,2021,251623586.0,141,251.623586
OH,2022,242017967.0,143,242.017967
OH,2023,241850932.0,136,241.850932
OK,2018,64575316.0,50,64.575316
OK,2019,64795946.0,91,64.795946
OK,2020,62299305.0,35,62.299305
OK,2021,64525137.0,35,64.525137
OK,2022,69486942.0,35,69.486942
OK,2023,68978840.0,36,68.97884
OR,2018,52269648.0,47,52.269648
OR,2019,53076552.0,50,53.076552
OR,2020,53929574.0,33,53.929574
OR,2021,57116957.0,33,57.116957
OR,2022,59413973.0,35,59.413973
OR,2023,61116254.0,34,61.116254
PA,2018,248130672.0,138,248.130672
PA,2019,240594185.0,175,240.594185
PA,2020,228374619.0,135,228.374619
PA,2021,232615422.0,134,232.615422
PA,2022,232021290.0,136,232.02129
PA,2023,224675637.0,129,224.675637
RI,2018,11056912.0,34,11.056912
RI,2019,10676837.0,32,10.676837
RI,2020,10602735.0,34,10.602735
RI,2021,10683055.0,31,10.683055
RI,2022,10822650.0,33,10.82265
RI,2023,11039731.0,33,11.039731
SC,2018,81641138.0,44,81.641138
SC,2019,80205620.0,50,80.20562
SC,2020,76737176.0,36,76.737176
SC,2021,79792136.0,34,79.792136
SC,2022,82758432.0,34,82.758432
SC,2023,81202185.0,33,81.202185
SD,2018,12856938.0,49,12.856938
SD,2019,12868931.0,73,12.868931
SD,2020,12695845.0,22,12.695845
SD,2021,13041391.0,22,13.041391
SD,2022,13467064.0,22,13.467064
SD,2023,13505999.0,22,13.505999
TN,2018,102911183.0,92,102.911183
TN,2019,99829100.0,91,99.8291
TN,2020,95003888.0,89,95.003888
TN,2021,99621137.0,90,99.621137
TN,2022,102112051.0,90,102.112051
TN,2023,99046005.0,90,99.046005
TX,2018,424418628.0,187,424.418628
TX,2019,429343404.0,226,429.343404
TX,2020,426863267.0,166,426.863267
TX,2021,435627878.0,168,435.627878
TX,2022,475401192.0,167,475.401192
TX,2023,492820385.0,163,492.820385
UT,2018,31242408.0,30,31.242408
UT,2019,31142565.0,53,31.142565
UT,2020,31663157.0,23,31.663157
UT,2021,32677627.0,22,32.677627
UT,2022,33365501.0,23,33.365501
UT,2023,33343537.0,24,33.343537
VA,2018,118942824.0,35,118.942824
VA,2019,120040968.0,40,120.040968
VA,2020,121926318.0,30,121.926318
VA,2021,133363458.0,30,133.363458
VA,2022,141121901.0,31,141.121901
VA,2023,140665430.0,30,140.66543
VT,2018,5530948.0,16,5.530948
VT,2019,5427664.0,24,5.427664
VT,2020,5331458.0,11,5.331458
VT,2021,5412696.0,10,5.412696
VT,2022,5470471.0,10,5.470471
VT,2023,5364023.0,11,5.364023
WA,2018,92037140.0,56,92.03714
WA,2019,93612809.0,66,93.612809
WA,2020,88926516.0,46,88.926516
WA,2021,90444912.0,47,90.444912
WA,2022,93198031.0,46,93.198031
WA,2023,91823104.0,49,91.823104
WI,2018,70959549.0,88,70.959549
WI,2019,69157540.0,119,69.15754
WI,2020,67448361.0,69,67.448361
WI,2021,69426615.0,68,69.426615
WI,2022,69875871.0,68,69.875871
WI,2023,68563904.0,69,68.563904
WV,2018,33646813.0,7,33.646813
WV,2019,33247013.0,9,33.247013
WV,2020,32076583.0,6,32.076583
WV,2021,32777988.0,6,32.777988
WV,2022,32986288.0,6,32.986288
WV,2023,32070687.0,7,32.070687
WY,2018,16864678.0,24,16.864678
WY,2019,16763496.0,37,16.763496
WY,2020,15331018.0,14,15.331018
WY,2021,15784712.0,14,15.784712
WY,2022,16499429.0,14,16.499429
WY,2023,16790115.0,14,16.790115
