Test,Coefficient,SE,P_value,N_firms
Base (AI Builders),0.3869425702629246,0.1069042920224501,0.0002951462952663632,30
Placebo: Non-AI Tech,0.3469884051677375,0.21251276169879754,0.10251347490720453,11
Placebo: Financials,-0.3649052227086055,0.14825240274909138,0.013840440771496966,35
Placebo: Industrials,0.02101022708607836,0.08416368034252576,0.8028693834750147,37
Placebo: 2018 Timing,0.2546103163562333,0.071085620769825,0.0003413114557586503,30
