Dropped,Coefficient,SE,P_value
MSFT,0.3442608652299788,0.10856017631452058,0.001518354550726775
GOOGL,0.35796445529305576,0.10987106936847411,0.0011218417310326163
AMZN,0.3563403441537599,0.10955195985315991,0.0011431160434781243
META,0.3506958462517043,0.10898487361811793,0.0012916000845256128
NVDA,0.3869425702629246,0.1069042920224501,0.0002951462952663632
INTC,0.44662733407872485,0.11175434422238406,6.428321637280477e-05
AAPL,0.3778412435953667,0.11119760319786695,0.000678987467018974
