Model,Coefficient,SE,P_value,Significant
Continuous AI × Post,-0.033013936594640386,0.028491426998792653,0.24656532257618324,False
High AI (Q4) × Post,0.001019777568255116,0.08336873903014783,0.9902404126977796,False
Binary Builder × Post,0.33721199588336737,0.08102976120288502,3.160504659493579e-05,True
Builder (w/ continuous),0.36246040775769883,0.08320223466310148,1.3223217286523137e-05,True
