Model,DiD Coefficient,Std. Error,t-stat,p-value,N,R²
Basic DiD,-3.652481062567363,2.215733175742621,-1.6484300106862841,0.10476622470713724,61.0,0.3032965097316306
Year FE,-4.264826079535232,2.3785912405406546,-1.7930050388001242,0.07867924101531451,61.0,0.32717909977155823
Scope 2 Only,-1.8256691770287627,2.1026164014384254,-0.8682844744194901,0.38955925604910147,52.0,0.1940126049300065
