year,coef,se,pval
2018,0.06371038955008479,0.06390030638429837,0.3189120871585029
2019,0.07764252355177548,0.0639003063842984,0.2245359020235887
2020,0.05197317942598023,0.06390030638429839,0.41614796616128147
2021,0.03927914767433305,0.06356332338158407,0.5367003029184312
2022,0.0,0.0,1.0
2023,0.024085038026309125,0.06326901116834388,0.7034971749099828
