year,coefficient,se,pvalue,pct_effect
2019,0.014593835770585078,0.528418267950714,0.978097669414335,1.47008457200124
2020,-0.020486710315027808,0.5284182679507144,0.9692575661930443,-2.0278283419025156
2021,0.0007424189199093898,0.5284182679507141,0.9988856380340567,0.07426945810502517
2022,0.0,0.0,,0.0
2023,0.06590126201343227,0.5284182679507141,0.9013448266937054,6.812124781774376
2024,0.10585475125809518,0.5284182679507146,0.8421942243117599,11.166039750534074
