ticker,year,total_emissions,num_facilities,primary_state,cdp_scope_1,cdp_scope_2,scope_1_best,total_with_scope2
ABBV,2010,201087.658,2,IL,,,201087.658,201087.658
ABBV,2011,200835.466,2,IL,,,200835.466,200835.466
ABBV,2012,190351.388,2,IL,,,190351.388,190351.388
ABBV,2013,185917.646,2,IL,,,185917.646,185917.646
ABBV,2014,183275.246,2,IL,,,183275.246,183275.246
ABBV,2015,169719.19,2,IL,,,169719.19,169719.19
ABBV,2016,159491.92200000002,2,IL,,,159491.92200000002,159491.92200000002
ABBV,2017,148979.598,2,IL,,,148979.598,148979.598
ABBV,2018,154504.092,2,IL,,,154504.092,154504.092
ABBV,2019,154325.934,2,IL,,,154325.934,154325.934
ABBV,2020,128416.176,2,IL,,,128416.176,128416.176
ABBV,2021,128081.35,2,IL,,,128081.35,128081.35
ABBV,2022,106306.578,2,IL,,,106306.578,106306.578
ABBV,2023,99777.824,2,IL,,,99777.824,99777.824
ABT,2010,159571.602,3,AZ,,,159571.602,159571.602
ABT,2011,131450.556,3,AZ,838000.0,771000.0,131450.556,902450.556
ABT,2012,111117.596,3,AZ,834000.0,822000.0,111117.596,933117.596
ABT,2013,124024.532,3,AZ,470781.0,537821.0,124024.532,661845.532
ABT,2014,122319.248,3,AZ,,,122319.248,122319.248
ABT,2015,113605.568,3,AZ,,,113605.568,113605.568
ABT,2016,114673.316,3,AZ,,,114673.316,114673.316
ABT,2017,117778.608,3,AZ,,,117778.608,117778.608
ABT,2018,114188.668,3,AZ,,,114188.668,114188.668
ABT,2019,113542.672,3,AZ,,,113542.672,113542.672
ABT,2020,111891.528,3,AZ,,,111891.528,111891.528
ABT,2021,135897.736,4,AZ,,,135897.736,135897.736
ABT,2022,138440.828,4,AZ,,,138440.828,138440.828
ABT,2023,134386.892,4,AZ,,,134386.892,134386.892
ADI,2011,166937.0419,3,MA,,,166937.0419,166937.0419
ADI,2012,131527.345,3,MA,,,131527.345,131527.345
ADI,2013,142575.7536,3,MA,,,142575.7536,142575.7536
ADI,2014,104875.177616,3,MA,,,104875.177616,104875.177616
ADI,2015,101516.969716,3,MA,,,101516.969716,101516.969716
ADI,2016,106702.188537,3,MA,,,106702.188537,106702.188537
ADI,2017,100497.827925,3,MA,,,100497.827925,100497.827925
ADI,2018,116917.35128899998,3,MA,,,116917.35128899998,116917.35128899998
ADI,2019,107502.862001,3,MA,,,107502.862001,107502.862001
ADI,2020,120209.243229,3,MA,,,120209.243229,120209.243229
ADI,2021,125755.58882,3,MA,,,125755.58882,125755.58882
ADI,2022,137478.719763,3,MA,,,137478.719763,137478.719763
ADI,2023,117771.628108,3,MA,,,117771.628108,117771.628108
ADM,2010,11059742.25,12,IA,,,11059742.25,11059742.25
ADM,2011,11864361.838,12,IA,14809727.0,3852992.0,11864361.838,15717353.838
ADM,2012,12102467.826,14,IA,15431577.0,3885465.0,12102467.826,15987932.826
ADM,2013,11858633.37,14,IA,14832646.0,2820056.0,11858633.37,14678689.37
ADM,2014,12172823.6,14,IA,,,12172823.6,12172823.6
ADM,2015,11918933.204,16,IA,,,11918933.204,11918933.204
ADM,2016,11542075.272,16,IA,,,11542075.272,11542075.272
ADM,2017,11813335.827,16,IA,,,11813335.827,11813335.827
ADM,2018,11844715.47,16,IA,,,11844715.47,11844715.47
ADM,2019,11883748.856,17,IA,,,11883748.856,11883748.856
ADM,2020,10780502.382,17,IA,,,10780502.382,10780502.382
ADM,2021,11235810.822,18,IA,,,11235810.822,11235810.822
ADM,2022,11371895.922,18,IA,,,11371895.922,11371895.922
ADM,2023,10585367.606,18,IA,,,10585367.606,10585367.606
AEE,2010,36276990.976,11,MO,,,36276990.976,36276990.976
AEE,2011,37260492.02,11,MO,,,37260492.02,37260492.02
AEE,2012,30296483.712,11,MO,,,30296483.712,30296483.712
AEE,2013,29969822.632,11,MO,,,29969822.632,29969822.632
AEE,2014,30432530.624,11,MO,,,30432530.624,30432530.624
AEE,2015,28319298.842,11,MO,,,28319298.842,28319298.842
AEE,2016,26596742.244,11,MO,,,26596742.244,26596742.244
AEE,2017,29995757.76,11,MO,,,29995757.76,29995757.76
AEE,2018,29344947.722,11,MO,,,29344947.722,29344947.722
AEE,2019,24205850.4,11,MO,,,24205850.4,24205850.4
AEE,2020,25759240.166,11,MO,,,25759240.166,25759240.166
AEE,2021,27981534.718,11,MO,,,27981534.718,27981534.718
AEE,2022,24745347.054,11,MO,,,24745347.054,24745347.054
AEE,2023,19669522.87,11,MO,,,19669522.87,19669522.87
AEP,2010,99955186.222,23,OK,,,99955186.222,99955186.222
AEP,2011,101053947.89,23,OK,138294800.0,,101053947.89,101053947.89
AEP,2012,90432275.756,24,OK,135671200.0,,90432275.756,90432275.756
AEP,2013,83138055.178,24,OK,121927400.0,,83138055.178,83138055.178
AEP,2014,89248888.934,24,OK,,,89248888.934,89248888.934
AEP,2015,75384167.886,24,OK,,,75384167.886,75384167.886
AEP,2016,70978607.946,24,OK,,,70978607.946,70978607.946
AEP,2017,70780956.37200001,24,OK,,,70780956.37200001,70780956.37200001
AEP,2018,70410535.89,24,OK,,,70410535.89,70410535.89
AEP,2019,61457626.066,24,OK,,,61457626.066,61457626.066
AEP,2020,47943299.814,24,OK,,,47943299.814,47943299.814
AEP,2021,57953296.248,24,OK,,,57953296.248,57953296.248
AEP,2022,54588657.346,24,OK,,,54588657.346,54588657.346
AEP,2023,47932477.914,24,OK,,,47932477.914,47932477.914
AES,2010,21806276.498,9,IN,,,21806276.498,21806276.498
AES,2011,21454356.034,9,IN,,,21454356.034,21454356.034
AES,2012,20581387.56,9,IN,,,20581387.56,20581387.56
AES,2013,21798640.096,9,IN,,,21798640.096,21798640.096
AES,2014,22406117.98,9,IN,,,22406117.98,22406117.98
AES,2015,19115442.956,9,IN,,,19115442.956,19115442.956
AES,2016,17614022.31,9,IN,,,17614022.31,17614022.31
AES,2017,15690195.528,9,IN,,,15690195.528,15690195.528
AES,2018,16636602.256,9,IN,,,16636602.256,16636602.256
AES,2019,18311677.888,9,IN,,,18311677.888,18311677.888
AES,2020,15635681.748,9,IN,,,15635681.748,15635681.748
AES,2021,18539335.316,9,IN,,,18539335.316,18539335.316
AES,2022,18959295.624,9,IN,,,18959295.624,18959295.624
AES,2023,15677526.79,9,IN,,,15677526.79,15677526.79
ALB,2010,309466.2,4,TX,,,309466.2,309466.2
ALB,2011,312218.78,4,TX,706000.0,379000.0,312218.78,691218.78
ALB,2012,295572.492,4,TX,752000.0,376000.0,295572.492,671572.4920000001
ALB,2013,274804.538,4,TX,747000.0,393000.0,274804.538,667804.538
ALB,2014,309379.306,4,TX,,,309379.306,309379.306
ALB,2015,294294.964,4,TX,,,294294.964,294294.964
ALB,2016,280559.422,4,TX,,,280559.422,280559.422
ALB,2017,292780.84,4,TX,,,292780.84,292780.84
ALB,2018,295958.73,4,TX,,,295958.73,295958.73
ALB,2019,300141.22,4,TX,,,300141.22,300141.22
