state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
NJ,64619574.0,13022568.0,111614630.0,2018,RFCE,0.2995123876223567,19354362.895879563,3900420.4346544985,33429964.324885923
NM,9035272.0,8186897.0,24048611.0,2018,AZNM,0.35352214894176776,3194168.773713384,2894249.4206049116,8501716.639784634
NV,15441493.0,13698781.0,42598368.0,2018,NWPP,0.27481924322558987,4243619.420533244,3764688.6275330894,11706851.256405184
NY,127332780.0,33210444.0,226567745.0,2018,NYCW,0.40214640164744947,51206419.288766325,13355460.551714128,91113403.38112691
OH,84815883.0,94374248.0,259001548.0,2018,RFCW,0.4562709219729477,38699021.134359665,43060225.145463616,118174875.09838067
OK,21229143.0,19229365.0,64575316.0,2018,SPSO,0.442367845705836,9391090.255091129,8506452.769341202,28566043.424693603
OR,17435522.0,15527921.0,51920022.0,2018,NWPP,0.27481924322558987,4791616.961283123,4267371.498086745,14268621.154295977
PA,76238394.0,96185375.0,248130672.0,2018,RFCE,0.2995123876223567,22834343.415433954,28808711.32060174,74318210.01305985
RI,6211968.0,1316021.0,11056912.0,2018,NEWE,0.24515789569177457,1522913.0029846416,322632.9390461849,2710689.2787691304
SC,22232833.0,27555886.0,81641138.0,2018,SRVC,0.2838920086001216,6311723.617241067,7822895.82529597,23177266.651219714
SD,4903243.0,2935335.0,12856938.0,2018,MROW,0.42792771543395236,2098233.575207519,1256111.2005833206,5501840.1058159685
