year,GICS Sector,total_emissions,mean_emissions,n_firms
2022,Consumer Discretionary,1642879.89,273813.32,6
2022,Consumer Staples,17659110.35,1471592.53,12
2022,Energy,151543740.29,10824552.88,14
2022,Financials,41866612.22,13955537.41,3
2022,Health Care,1148515.87,104410.53,11
2022,Industrials,37269090.86,2070505.05,18
2022,Information Technology,3894172.35,389417.23,10
2022,Materials,92948447.74,5467555.75,17
2022,Real Estate,36381.65,36381.65,1
2022,Utilities,664402054.7,23728644.81,28
2023,Communication Services,56418.04,56418.04,1
2023,Consumer Discretionary,1609107.5,268184.58,6
2023,Consumer Staples,16636360.52,1386363.38,12
2023,Energy,152634692.02,10902478.0,14
2023,Financials,38746599.69,12915533.23,3
2023,Health Care,1155844.17,105076.74,11
2023,Industrials,37100735.26,2061151.96,18
2023,Information Technology,3560186.92,356018.69,10
2023,Materials,94425587.6,5554446.33,17
2023,Real Estate,41144.52,41144.52,1
2023,Utilities,613667342.65,21916690.81,28
