soc_code,occupation,ai_exposure,ability_exposure,activity_exposure,gics_sector
11-1011.00,Chief Executives,64.94578688472123,0.7722753036437245,0.6747143566815698,Industrials
11-1011.03,Chief Sustainability Officers,68.44919868245861,0.773542363924608,0.6786819637139807,Industrials
11-1021.00,General and Operations Managers,69.15770324888959,0.764982456140351,0.6883004926108375,Industrials
11-2011.00,Advertising and Promotions Managers,79.73534476882497,0.7733722576079264,0.6957154088050315,Industrials
11-2021.00,Marketing Managers,73.07450757414679,0.7770632368703109,0.6820720548989708,Industrials
11-2022.00,Sales Managers,67.00984919582694,0.7723042582417585,0.6777694470477977,Industrials
11-3012.00,Administrative Services Managers,65.13424204946332,0.754288939051919,0.6929823039555864,Industrials
11-3021.00,Computer and Information Systems Managers,73.42128622083291,0.7678523602276532,0.6918010752688171,Industrials
11-3031.00,Financial Managers,81.23162412264308,0.7777863247863248,0.6935370264610698,Industrials
11-3031.01,Treasurers and Controllers,84.64575435495546,0.7848601160013647,0.6915645013723695,Industrials
11-3031.03,Investment Fund Managers,90.16703995911087,0.7835578583765112,0.70111645813282,Industrials
11-3051.00,Industrial Production Managers,59.96950925379332,0.7510756972111553,0.6884785945761556,Industrials
11-3051.01,Quality Control Systems Managers,71.50164211462578,0.7635677979996722,0.6932173768308922,Industrials
11-3051.02,Geothermal Production Managers,61.828000394312745,0.7542226959658906,0.6881084840055633,Industrials
11-3051.03,Biofuels Production Managers,57.061946974608816,0.7493509694380545,0.6858589511754069,Industrials
11-3051.04,Biomass Power Plant Managers,62.53559251347237,0.7493237803896314,0.6940646573497222,Industrials
11-3051.06,Hydroelectric Production Managers,57.02003401811856,0.7510961753880622,0.6840511204481792,Industrials
11-3061.00,Purchasing Managers,79.84513708909844,0.7785765315234864,0.690675182481752,Industrials
11-3071.00,"Transportation, Storage, and Distribution Managers",65.57193774567769,0.7630161734342742,0.6849090581667567,Industrials
11-3071.04,Supply Chain Managers,74.08870780398651,0.7802035398230088,0.6804471321238775,Industrials
11-3111.00,Compensation and Benefits Managers,80.27669505612505,0.7778899592441645,0.6920065725884399,Industrials
11-3121.00,Human Resources Managers,71.10086281503074,0.7766930897811477,0.6794932555596063,Industrials
11-3131.00,Training and Development Managers,64.72822141435535,0.7695976529756915,0.6770669291338585,Industrials
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",42.24315658069452,0.7342230695900857,0.6788451668092387,Industrials
11-9021.00,Construction Managers,72.2442509283364,0.7647094017094016,0.6931853515287615,Industrials
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",65.20309817639249,0.7645139475908705,0.6828601776747779,Industrials
11-9032.00,"Education Administrators, Kindergarten through Secondary",70.093531270302,0.7677857258982279,0.6868955021981739,Industrials
11-9033.00,"Education Administrators, Postsecondary",72.81425285864961,0.7755561303673046,0.6831902985074627,Industrials
11-9041.00,Architectural and Engineering Managers,74.60612373345462,0.7728538849975567,0.6885698905436927,Industrials
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,67.62668875907877,0.7555537924468422,0.695441571524513,Industrials
11-9051.00,Food Service Managers,65.7668999182227,0.7482271887077802,0.6999893481039626,Industrials
11-9071.00,Gambling Managers,73.25545256157368,0.7647520949720669,0.6946535580524344,Industrials
11-9081.00,Lodging Managers,56.896950086192824,0.7476332313637095,0.6873301570495852,Industrials
11-9111.00,Medical and Health Services Managers,78.91392236527155,0.7771433530024296,0.6907169746748802,Industrials
11-9121.00,Natural Sciences Managers,65.48357223518678,0.7623654132847443,0.6854277858644671,Industrials
11-9121.01,Clinical Research Coordinators,98.48886723203191,0.7825166636642047,0.7145918169478379,Industrials
11-9121.02,Water Resource Specialists,82.02459237188778,0.778254051228437,0.6942541236179082,Industrials
11-9131.00,Postmasters and Mail Superintendents,68.21903189456857,0.7653866666666667,0.6864937543372659,Industrials
11-9141.00,"Property, Real Estate, and Community Association Managers",77.6497900580279,0.7777557568893924,0.6882157514168458,Industrials
11-9151.00,Social and Community Service Managers,69.70575806940408,0.7664124724622945,0.6876893593721483,Industrials
11-9161.00,Emergency Management Directors,56.93665963647943,0.7540477717217056,0.6809749492213947,Industrials
11-9171.00,Funeral Home Managers,56.51397153322212,0.7445720250521919,0.689819131083349,Industrials
11-9179.01,Fitness and Wellness Coordinators,58.54901901545383,0.7503622577927547,0.6870695904313155,Industrials
11-9179.02,Spa Managers,63.1713664060615,0.7556859051207396,0.6886524822695035,Industrials
11-9199.01,Regulatory Affairs Managers,78.26957306420579,0.7774020694752403,0.6894954954954956,Industrials
11-9199.02,Compliance Managers,72.38942352627424,0.7669779437922448,0.6911337209302325,Industrials
11-9199.08,Loss Prevention Managers,65.63130686529952,0.7552392183288409,0.6927747203976568,Industrials
11-9199.09,Wind Energy Operations Managers,49.857503552981186,0.7436207725597052,0.6808245372495029,Industrials
11-9199.10,Wind Energy Development Managers,75.53857973856431,0.7741167164703814,0.6887003000750187,Industrials
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,81.77458900614478,0.7802034833591998,0.6919311457772996,Industrials
