ticker,pre_avg,post_2023,change,pct_change,GICS Sector
SRE,4382504.608666667,3952999.27,-429505.33866666676,-9.800453782006164,Utilities
STLD,2367517.1813333333,2569896.58,202379.39866666682,8.548170220783414,Materials
SWKS,36914.258177,24116.71997,-12797.538207000005,-34.66827951854579,Information Technology
TAP,351627.07266666665,339474.436,-12152.636666666658,-3.456115188885653,Consumer Staples
TMO,27210.8,28392.342,1181.5420000000013,4.342180310758968,Health Care
TRGP,2952987.8299759966,3358925.970596633,405938.1406206363,13.746691960594228,Energy
TSLA,38029.14,80515.196,42486.056,111.71973912636469,Consumer Discretionary
TSN,1918697.8040000002,1874907.486,-43790.3180000002,-2.2822936425271583,Consumer Staples
TXN,1121263.0551497333,1057774.335383,-63488.71976673324,-5.662250216409294,Information Technology
TXT,58227.157999999996,55579.572,-2647.5859999999957,-4.546995063712359,Industrials
VLO,22587623.94933333,23535216.552,947592.6026666723,4.195184959658585,Energy
VST,85275091.18666667,86320993.138,1045901.9513333291,1.226503468690354,Utilities
VTRS,27834.747,26031.806,-1802.940999999999,-6.477303350377135,Health Care
WAB,46459.14133333333,35202.768,-11256.373333333337,-24.22854364132889,Industrials
WEC,20602914.058666665,19291885.63,-1311028.4286666662,-6.363315523879394,Utilities
WM,15658531.830075333,14429168.964,-1229362.8660753332,-7.851073647365181,Industrials
WY,34977.39333333333,41144.524,6167.130666666664,17.631761772222777,Real Estate
XEL,31628790.155333336,29218121.978,-2410668.1773333363,-7.6217527306426005,Utilities
XOM,30364470.060666665,31157811.114,793341.0533333346,2.612728138341554,Energy
