ticker,pre_avg,post_2023,change,pct_change,GICS Sector
ABBV,120934.70133333333,99777.824,-21156.877333333337,-17.494463623818326,Health Care
ABT,128743.364,134386.892,5643.527999999991,4.383548654204803,Health Care
ADI,127814.51727066666,117771.628108,-10042.88916266666,-7.857393179680298,Information Technology
ADM,11129403.042000001,10585367.606,-544035.4360000007,-4.888271490815155,Consumer Staples
AEE,26162040.645999998,19669522.87,-6492517.775999997,-24.8165571785879,Utilities
AEP,53495084.46933333,47932477.914,-5562606.555333331,-10.398350821414553,Utilities
AES,17711437.562666666,15677526.79,-2033910.7726666667,-11.483600726763578,Utilities
ALB,295072.3626666667,290882.972,-4189.3906666666735,-1.4197841603346928,Materials
AMGN,42725.11066666667,61780.352,19055.24133333333,44.59963013788019,Health Care
APA,137240.762,125913.78,-11326.981999999989,-8.253365716520861,Energy
APD,12278124.971333332,14072905.322,1794780.3506666683,14.617707140602313,Materials
ATO,136543.394,130555.092,-5988.301999999996,-4.385640216325658,Utilities
AVGO,114526.249763,34457.051985,-80069.197778,-69.91340233675228,Information Technology
BA,156745.51733333335,151144.822,-5600.695333333366,-3.573113559236904,Industrials
BAX,39606.0,43203.836,3597.836000000003,9.084068070494379,Health Care
BF.B,74010.79466666667,90072.76,16061.965333333326,21.70219277562681,Consumer Staples
BIIB,28748.158666666666,28268.192,-479.96666666666715,-1.6695562043880947,Health Care
BMY,88445.65666666666,95102.74,6657.083333333343,7.526749853214963,Health Care
BRK.B,40460243.539333336,36757318.922,-3702924.6173333377,-9.152007732562332,Financials
CAG,147308.01066666667,112660.176,-34647.83466666666,-23.520672439918357,Consumer Staples
CAT,470231.10466666665,456901.738,-13329.36666666664,-2.8346416335251674,Industrials
CEG,7807680.508666667,8941320.546,1133640.037333333,14.519549513776491,Utilities
CF,20093419.384666666,20579424.174,486004.78933333233,2.418726151230406,Materials
CMS,11451887.551333332,10198676.14,-1253211.4113333318,-10.943273811551018,Utilities
CNP,4468329.451333334,3741577.852,-726751.5993333338,-16.26450348499871,Utilities
COP,586301.6546666666,570045.678,-16255.976666666684,-2.772630187426093,Energy
CTVA,59262.37733333333,56532.988,-2729.3893333333326,-4.605602164728097,Materials
CVX,16207968.903333334,16013153.746,-194815.1573333349,-1.2019714406860023,Energy
CZR,48755.116,56095.788,7340.671999999999,15.056208665363444,Consumer Discretionary
D,32293517.414,28177882.236,-4115635.1779999994,-12.744462379981483,Utilities
DAL,1291533.752,1256096.862,-35436.89000000013,-2.743783501215083,Industrials
DD,201167.06266666666,195527.252,-5639.810666666657,-2.803545765348182,Materials
DE,46953.424,45075.88,-1877.5440000000017,-3.9987371315029163,Industrials
