Specification,Coefficient,SE,P_value
First Stage,1.0935010610747011,inf,1.0
Reduced Form,1.5861939645846326,0.298169450230727,1.0389646993505529e-07
DiD Electricity,0.030465243126152133,0.008638515399496505,0.00042081170876920245
DiD Scope 2,0.030465243126151644,0.00863851539949649,0.0004208117087692833
