facility_id,facility_name,total_emissions,naics_code,state,latitude,longitude,year,parent_company,ownership_pct,clean_parent,ticker
1001838,TYSON FRESH MEATS INC-PERRY,46151.552,311611.0,IA,41.84096,-94.12596,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1001912,"TYSON FRESH MEATS, INC. - WATERLOO",48703.716,311611.0,IA,42.509748,-92.26207,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1004809,TYSON POULTRY INC PINE BLUFF JEFFERSON PARKWAY PLANT,27366.996,311615.0,AR,34.262343,-92.077602,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1000045,TYSON POULTRY INC.-SEDALIA,94794.952,311615.0,MO,38.75087,-93.326088,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1014912,Tesla Gigafactory Texas,33462.524,336110.0,TX,30.221536,-97.620783,2023,TESLA INC,100.0,TESLA,TSLA
1011389,"Tesla, Inc.",47052.672,336110.0,CA,37.49634,-121.94826,2023,TESLA INC,100.0,TESLA,TSLA
1006039,"Tesoro Refining and Marketing Company, Salt Lake City Refinery",568979.284,324110.0,UT,40.791667,-111.902778,2023,MARATHON PETROLEUM CORP,100.0,MARATHON PETROLEUM,MPC
1003128,Terrell Gas Plant,61563.136,211120.0,TX,30.3736,-101.8433,2023,EXXON MOBIL CORP,23.0,EXXON MOBIL,XOM
1003128,Terrell Gas Plant,61563.136,211120.0,TX,30.3736,-101.8433,2023,OCCIDENTAL PETROLEUM CORP,54.0,OCCIDENTAL PETROLEUM,OXY
1009214,Taggart (Six Lakes) Compressor Station,36573.934,221210.0,MI,43.44774,-85.143886,2023,DTE ENERGY CO,100.0,DTE ENERGY,DTE
1003554,Texas Gas Transmission - Bastrop Station,69361.566,486210.0,LA,32.96028,-91.85398,2023,LOEWS CORP,100.0,LOEWS,L
1009463,Texas Gas Transmission - Calvert City Station,22685.86,486210.0,KY,36.963889,-88.383611,2023,LOEWS CORP,100.0,LOEWS,L
1013118,Texas Gas Transmission - Clarksdale Station,5111.49,486210.0,MS,34.150278,-90.6375,2023,LOEWS CORP,100.0,LOEWS,L
1011265,Texas Gas Transmission - Columbia Station,63802.334,486210.0,LA,32.154474,-92.091272,2023,LOEWS CORP,100.0,LOEWS,L
1009462,Texas Gas Transmission - Covington Station,19998.85,486210.0,TN,35.564242,-89.646455,2023,LOEWS CORP,100.0,LOEWS,L
1013129,Texas Gas Transmission - Dillsboro Station,17109.65,486210.0,IN,39.017917,-85.013944,2023,LOEWS CORP,100.0,LOEWS,L
1011946,Texas Gas Transmission - Eunice Station,28732.424,486210.0,LA,30.45538,-92.53363,2023,LOEWS CORP,100.0,LOEWS,L
1014390,Texas Gas Transmission - Guthrie Station,3606.15,486210.0,LA,32.679185,-92.02301,2023,LOEWS CORP,100.0,LOEWS,L
1009427,Texas Gas Transmission - Hardinsburg Station,29961.61,486210.0,KY,37.785556,-86.486667,2023,LOEWS CORP,100.0,LOEWS,L
1013105,Texas Gas Transmission - Harrison Station,28000.146,486210.0,OH,39.265715,-84.756281,2023,LOEWS CORP,100.0,LOEWS,L
1009429,Texas Gas Transmission - Haughton Station,25970.014,486210.0,LA,32.472479,-93.509583,2023,LOEWS CORP,100.0,LOEWS,L
1003596,Texas Gas Transmission - Jeffersontown Station,2384.948,486210.0,KY,38.216581,-85.567857,2023,LOEWS CORP,100.0,LOEWS,L
1003776,Texas Gas Transmission - Kenton Station,19868.598,486210.0,TN,36.238258,-89.02944,2023,LOEWS CORP,100.0,LOEWS,L
1003915,Texas Gas Transmission - Lake Cormorant Station,49924.266,486210.0,MS,34.899192,-90.166389,2023,LOEWS CORP,100.0,LOEWS,L
1009428,Texas Gas Transmission - Midland Storage Field,16334.858,486210.0,KY,37.329327,-87.24193,2023,LOEWS CORP,100.0,LOEWS,L
1002471,Tessman Road Landfill,198476.0,562212.0,TX,29.447784,-98.351185,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1010134,Texas Instruments - Sherman,82454.77794,334413.0,TX,33.6005808,-96.5569882,2023,TEXAS INSTRUMENTS INC,100.0,TEXAS INSTRUMENTS,TXN
1010208,Texas Instruments Incorporated - Maine Fab,69821.836662,334413.0,ME,43.64075,-70.32198,2023,TEXAS INSTRUMENTS INC,100.0,TEXAS INSTRUMENTS,TXN
1008059,Texas Instruments Richardson,277772.6318033,334413.0,TX,32.999754,-96.72063,2023,TEXAS INSTRUMENTS INC,100.0,TEXAS INSTRUMENTS,TXN
1009556,Texas Instruments- Lehi Fab,92640.9786694,334413.0,UT,40.43377,-111.83166,2023,TEXAS INSTRUMENTS INC,100.0,TEXAS INSTRUMENTS,TXN
1001973,Textron Aviation/East Campus,21844.568,336411.0,KS,37.692779,-97.223533,2023,TEXTRON INC,100.0,TEXTRON,TXT
1001826,The Dow Chemical Company,29886.348,325211.0,MI,43.6025,-84.2404,2023,DOW INC,100.0,DOW,DOW
1004314,The Dow Chemical Company -- Louisiana Operations,2249995.038,325199.0,LA,30.320903,-91.239015,2023,DOW INC,100.0,DOW,DOW
1009430,Texas Gas Transmission - Pineville Station,63317.538,486210.0,LA,31.2976,-92.33386,2023,LOEWS CORP,100.0,LOEWS,L
1003916,Texas Gas Transmission - Sharon Station,23777.728,486210.0,LA,32.757858,-92.763508,2023,LOEWS CORP,100.0,LOEWS,L
1003917,Texas Gas Transmission - Slaughters Station,27984.208,486210.0,KY,37.50796,-87.49903,2023,LOEWS CORP,100.0,LOEWS,L
1003720,Texas Gas Transmission - Youngsville Station,25734.488,486210.0,LA,30.0875,-92.02997,2023,LOEWS CORP,100.0,LOEWS,L
1013001,The Hillshire Brands Company,35779.262,311612.0,MI,42.918611,-86.028611,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1007796,Three Corners Landfill,16391.25,562212.0,AL,33.995349,-85.729655,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1001137,Tiger Bay Cogeneration Facility,442006.612,221112.0,FL,27.7447,-81.85,2023,DUKE ENERGY CORP,100.0,DUKE ENERGY,DUK
1001043,Tolk Station,2831311.858,221112.0,TX,34.1847,-102.5686,2023,XCEL ENERGY INC,100.0,XCEL ENERGY,XEL
1003406,Tontitown Landfill,120505.048,562212.0,AR,36.138,-94.2563,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007549,Tracy,1670406.812,221112.0,NV,39.5625,-119.525,2023,BERKSHIRE HATHAWAY INC,100.0,BERKSHIRE HATHAWAY,BRK.B
1000679,Trenton Channel,1079.526,221112.0,MI,42.1236,-83.1811,2023,DTE ENERGY CO,100.0,DTE ENERGY,DTE
1003555,"Thunder Horse, MMS Platform ID 02481, Complex ID 1101-1",251340.33,211120.0,LA,28.1910036111,-88.4956952778,2023,EXXON MOBIL CORP,25.0,EXXON MOBIL,XOM
1006542,Trimble County,6994442.332,221112.0,KY,38.5847,-85.4117,2023,PPL CORP,100.0,PPL,PPL
1000947,Trinidad,228294.204,221112.0,TX,32.1264,-96.1014,2023,Vistra Corp,100.0,VISTRA,VST
1004646,Trinity Oaks Landfill,2267.75,562212.0,TX,32.688672,-96.633183,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1004474,Troy Area Landfill,35971.5,562212.0,WI,42.7662,-88.4161,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1000864,Tulsa,152795.484,221112.0,OK,36.1125,-95.9917,2023,AMERICAN ELECTRIC POWER CO INC,100.0,AMERICAN ELECTRIC POWER,AEP
1007159,Turkey Point,2447576.064,221112.0,FL,25.4356,-80.3308,2023,NEXTERA ENERGY INC,100.0,NEXTERA ENERGY,NEE
1010392,Turkey Run Landfill,117523.75,562212.0,GA,33.163696,-84.848925,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1012930,"Tyson Chicken, Inc. Hope AR",41378.422,311615.0,AR,33.74063,-93.61436,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1007030,"Tyson Farms Inc., River Valley Ingredients - Hanceville",57390.91,311613.0,AL,33.955694,-86.815268,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1012009,"Tyson Farms, Inc - Blountsville Processing",46672.826,311615.0,AL,34.049858,-86.577483,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1004987,"Tyson Farms, Inc/ Cuthbert Plant",97465.84,311613.0,GA,31.770486,-84.781229,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1010155,"Tyson Foods, Inc.",33553.776,311615.0,MS,32.823278,-89.534944,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1001924,Tyson Fresh Meats,27654.896,311611.0,IA,42.64085,-95.1884,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1001923,Tyson Fresh Meats,39425.354,311611.0,NE,40.761111,-99.736944,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1014703,"Tyson Fresh Meats, Inc. - WWTP",85601.75,311611.0,KS,37.958946,-101.044593,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1000040,"Tyson Fresh Meats, Inc.- Dakota City, NE",62755.848,311611.0,NE,42.424893,-96.514309,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1014852,Tyson Poultry Inc. Grannis Processing Plant,29337.242,311615.0,AR,34.240417,-94.334833,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1011973,"Tyson Poultry, Inc Broken Bow",53889.722,311615.0,OK,33.95649,-94.756928,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1011994,"Tyson Poultry, Inc Clarksville",34048.0,311615.0,AR,35.4429,-93.48801,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
1007915,"Tyson Poultry, Inc., Cumming API",77127.748,311613.0,GA,34.281587,-84.058034,2023,TYSON FOODS INC,100.0,TYSON FOODS,TSN
